Toughness,Hours,Consistency,Syllabus,Time,Pass
UPSC_IIT_AIIMS_CAT,three,six,forty,sixty,no
Class_6-10,six,three,eighty,eighty,yes
CBSE_ICSE_StateBoard,ten,seven,hundred,forty,yes
NDA_NEET_CLAT_SSC,six,five,sixty,forty,yes
UPSC_IIT_AIIMS_CAT,three,five,sixty,forty,no
Class_6-10,ten,five,sixty,twenty,yes
UPSC_IIT_AIIMS_CAT,three,seven,hundred,eighty,no
NDA_NEET_CLAT_SSC,greater_than_10,seven,hundred,eighty,yes
UPSC_IIT_AIIMS_CAT,six,six,sixty,forty,no
CBSE_ICSE_StateBoard,ten,three,sixty,eighty,no
Class_6-10,three,six,eighty,twenty,no
Class_6-10,ten,seven,hundred,sixty,yes
Class_6-10,three,six,hundred,sixty,yes
UPSC_IIT_AIIMS_CAT,greater_than_10,five,hundred,eighty,no
NDA_NEET_CLAT_SSC,ten,four,sixty,sixty,no
CBSE_ICSE_StateBoard,three,seven,forty,twenty,no
NDA_NEET_CLAT_SSC,three,six,sixty,eighty,no
UPSC_IIT_AIIMS_CAT,six,five,forty,sixty,no
Class_6-10,six,seven,sixty,sixty,yes
CBSE_ICSE_StateBoard,greater_than_10,five,eighty,twenty,yes
UPSC_IIT_AIIMS_CAT,greater_than_10,seven,forty,sixty,no
Class_6-10,three,five,hundred,forty,yes
UPSC_IIT_AIIMS_CAT,six,seven,eighty,twenty,no
Class_6-10,greater_than_10,six,hundred,twenty,yes
Class_6-10,greater_than_10,three,sixty,eighty,yes
NDA_NEET_CLAT_SSC,greater_than_10,four,forty,twenty,no
CBSE_ICSE_StateBoard,greater_than_10,seven,hundred,eighty,yes
CBSE_ICSE_StateBoard,six,seven,hundred,forty,yes
UPSC_IIT_AIIMS_CAT,three,seven,forty,eighty,no
NDA_NEET_CLAT_SSC,greater_than_10,four,sixty,eighty,no
Class_6-10,greater_than_10,four,sixty,eighty,yes
NDA_NEET_CLAT_SSC,ten,seven,sixty,sixty,no
UPSC_IIT_AIIMS_CAT,ten,four,forty,twenty,no
CBSE_ICSE_StateBoard,ten,six,eighty,forty,yes
CBSE_ICSE_StateBoard,six,six,eighty,sixty,no
CBSE_ICSE_StateBoard,ten,seven,eighty,twenty,yes
Class_6-10,three,six,hundred,eighty,yes
Class_6-10,six,seven,eighty,sixty,yes
Class_6-10,greater_than_10,six,sixty,eighty,yes
UPSC_IIT_AIIMS_CAT,three,seven,eighty,forty,no
CBSE_ICSE_StateBoard,ten,four,hundred,forty,yes
UPSC_IIT_AIIMS_CAT,three,five,eighty,eighty,no
UPSC_IIT_AIIMS_CAT,three,six,hundred,sixty,no
CBSE_ICSE_StateBoard,six,seven,hundred,forty,yes
NDA_NEET_CLAT_SSC,six,four,eighty,twenty,no
UPSC_IIT_AIIMS_CAT,six,three,hundred,sixty,no
Class_6-10,ten,seven,eighty,eighty,yes
Class_6-10,greater_than_10,seven,forty,sixty,yes
CBSE_ICSE_StateBoard,three,five,eighty,twenty,no
NDA_NEET_CLAT_SSC,ten,four,eighty,sixty,no
Class_6-10,three,six,sixty,eighty,yes
CBSE_ICSE_StateBoard,greater_than_10,three,sixty,forty,no
CBSE_ICSE_StateBoard,ten,five,hundred,eighty,yes
UPSC_IIT_AIIMS_CAT,six,three,forty,sixty,no
NDA_NEET_CLAT_SSC,ten,six,sixty,sixty,no
NDA_NEET_CLAT_SSC,six,four,eighty,eighty,no
UPSC_IIT_AIIMS_CAT,six,four,hundred,twenty,no
CBSE_ICSE_StateBoard,greater_than_10,six,sixty,eighty,yes
CBSE_ICSE_StateBoard,greater_than_10,three,eighty,twenty,no
UPSC_IIT_AIIMS_CAT,greater_than_10,six,forty,eighty,no
NDA_NEET_CLAT_SSC,six,three,forty,forty,no
CBSE_ICSE_StateBoard,three,three,eighty,forty,no
CBSE_ICSE_StateBoard,three,six,sixty,forty,no
Class_6-10,six,five,forty,sixty,yes
UPSC_IIT_AIIMS_CAT,ten,seven,hundred,sixty,no
NDA_NEET_CLAT_SSC,greater_than_10,four,eighty,sixty,no
Class_6-10,ten,seven,sixty,forty,yes
Class_6-10,ten,six,hundred,twenty,yes
NDA_NEET_CLAT_SSC,ten,three,eighty,forty,no
Class_6-10,six,three,sixty,sixty,yes
NDA_NEET_CLAT_SSC,ten,seven,hundred,forty,yes
CBSE_ICSE_StateBoard,three,six,forty,forty,no
UPSC_IIT_AIIMS_CAT,ten,six,hundred,twenty,no
UPSC_IIT_AIIMS_CAT,ten,five,eighty,sixty,no
CBSE_ICSE_StateBoard,greater_than_10,three,eighty,forty,yes
NDA_NEET_CLAT_SSSC,ten,five,forty,forty,no
Class_6-10,greater_than_10,four,sixty,forty,yes
Class_6-10,greater_than_10,five,sixty,twenty,yes
NDA_NEET_CLAT_SSC,three,six,sixty,forty,no
Class_6-10,greater_than_10,six,hundred,twenty,no
Class_6-10,three,five,sixty,forty,no
NDA_NEET_CLAT_SSC,ten,six,hundred,twenty,yes
UPSC_IIT_AIIMS_CAT,three,seven,eighty,sixty,no
CBSE_ICSE_StateBoard,greater_than_10,seven,forty,forty,yes
Class_6-10,six,three,sixty,forty,yes
UPSC_IIT_AIIMS_CAT,three,four,hundred,twenty,no
Class_6-10,three,four,forty,sixty,no
CBSE_ICSE_StateBoard,ten,six,eighty,sixty,no
UPSC_IIT_AIIMS_CAT,greater_than_10,seven,forty,sixty,no
Class_6-10,three,seven,forty,forty,no
NDA_NEET_CLAT_SSC,three,six,hundred,twenty,no
UPSC_IIT_AIIMS_CAT,six,seven,sixty,forty,no
CBSE_ICSE_StateBoard,ten,seven,sixty,twenty,yes
Class_6-10,six,five,eighty,sixty,yes
CBSE_ICSE_StateBoard,three,six,hundred,forty,no
NDA_NEET_CLAT_SSC,three,three,eighty,forty,no
Class_6-10,greater_than_10,four,hundred,forty,no
UPSC_IIT_AIIMS_CAT,three,seven,sixty,sixty,no
CBSE_ICSE_StateBoard,greater_than_10,three,sixty,sixty,no
Class_6-10,six,three,forty,forty,yes
UPSC_IIT_AIIMS_CAT,greater_than_10,seven,sixty,forty,no
NDA_NEET_CLAT_SSC,three,five,eighty,twenty,no
CBSE_ICSE_StateBoard,ten,six,sixty,sixty,yes
NDA_NEET_CLAT_SSC,greater_than_10,four,sixty,twenty,yes
UPSC_IIT_AIIMS_CAT,ten,five,sixty,forty,no
CBSE_ICSE_StateBoard,three,seven,eighty,sixty,no
Class_6-10,greater_than_10,seven,hundred,forty,no
UPSC_IIT_AIIMS_CAT,six,five,eighty,twenty,no
NDA_NEET_CLAT_SSC,six,four,forty,forty,no
Class_6-10,greater_than_10,five,hundred,forty,yes
CBSE_ICSE_StateBoard,three,four,eighty,twenty,yes
NDA_NEET_CLAT_SSC,ten,seven,sixty,sixty,yes
Class_6-10,six,seven,forty,forty,yes
UPSC_IIT_AIIMS_CAT,greater_than_10,three,hundred,sixty,no
CBSE_ICSE_StateBoard,six,six,forty,twenty,yes
UPSC_IIT_AIIMS_CAT,six,six,eighty,sixty,no
NDA_NEET_CLAT_SSC,greater_than_10,four,sixty,sixty,yes
Class_6-10,six,seven,hundred,forty,yes
CBSE_ICSE_StateBoard,greater_than_10,three,hundred,twenty,no
UPSC_IIT_AIIMS_CAT,three,six,sixty,sixty,no
NDA_NEET_CLAT_SSC,six,seven,sixty,twenty,no
CBSE_ICSE_StateBoard,ten,four,sixty,forty,yes
UPSC_IIT_AIIMS_CAT,three,four,hundred,forty,no
Class_6-10,six,seven,hundred,twenty,yes
Class_6-10,six,three,eighty,sixty,yes
NDA_NEET_CLAT_SSC,ten,four,sixty,twenty,yes
CBSE_ICSE_StateBoard,greater_than_10,six,hundred,twenty,yes
UPSC_IIT_AIIMS_CAT,six,seven,forty,forty,no
Class_6-10,ten,six,forty,forty,yes
NDA_NEET_CLAT_SSC,greater_than_10,seven,hundred,sixty,no
Class_6-10,ten,four,sixty,forty,yes
Class_6-10,greater_than_10,seven,sixty,forty,no
CBSE_ICSE_StateBoard,six,five,hundred,twenty,no
UPSC_IIT_AIIMS_CAT,greater_than_10,seven,hundred,twenty,no
CBSE_ICSE_StateBoard,six,three,eighty,forty,yes
NDA_NEET_CLAT_SSC,six,five,eighty,twenty,yes
CBSE_ICSE_StateBoard,six,three,forty,twenty,no
UPSC_IIT_AIIMS_CAT,six,seven,hundred,forty,yes
Class_6-10,ten,six,hundred,twenty,yes
Class_6-10,greater_than_10,seven,hundred,forty,yes
CBSE_ICSE_StateBoard,three,six,forty,sixty,no
NDA_NEET_CLAT_SSC,three,three,forty,sixty,no
Class_6-10,ten,four,eighty,sixty,no
UPSC_IIT_AIIMS_CAT,ten,three,eighty,twenty,no
CBSE_ICSE_StateBoard,six,five,forty,sixty,yes
UPSC_IIT_AIIMS_CAT,greater_than_10,six,hundred,forty,yes
CBSE_ICSE_StateBoard,ten,seven,sixty,forty,no
Class_6-10,greater_than_10,three,sixty,twenty,yes
UPSC_IIT_AIIMS_CAT,three,three,sixty,twenty,no
NDA_NEET_CLAT_SSC,greater_than_10,three,sixty,sixty,no
CBSE_ICSE_StateBoard,six,six,forty,forty,yes
Class_6-10,greater_than_10,six,forty,twenty,yes
CBSE_ICSE_StateBoard,greater_than_10,six,sixty,twenty,yes
NDA_NEET_CLAT_SSC,ten,five,sixty,twenty,yes
UPSC_IIT_AIIMS_CAT,greater_than_10,seven,forty,forty,no
Class_6-10,greater_than_10,six,forty,forty,yes
NDA_NEET_CLAT_SSC,six,five,sixty,twenty,yes
CBSE_ICSE_StateBoard,ten,three,eighty,sixty,no
UPSC_IIT_AIIMS_CAT,six,six,eighty,forty,yes
Class_6-10,greater_than_10,five,eighty,forty,no
CBSE_ICSE_StateBoard,ten,six,sixty,forty,yes
Class_6-10,greater_than_10,four,sixty,sixty,yes
NDA_NEET_CLAT_SSC,ten,three,sixty,forty,yes
CBSE_ICSE_StateBoard,six,three,eighty,forty,yes
UPSC_IIT_AIIMS_CAT,ten,six,forty,sixty,no
Class_6-10,ten,seven,forty,forty,yes
CBSE_ICSE_StateBoard,six,four,eighty,twenty,yes
NDA_NEET_CLAT_SSC,six,four,fort50y,no
Class_6-10,greater_than_10,three,hundred,forty,no
CBSE_ICSE_StateBoard,three,four,sixty,twenty,yes
NDA_NEET_CLAT_SSC,ten,three,sixty,twenty,yes
CBSE_ICSE_StateBoard,three,three,eighty,twenty,yes
UPSC_IIT_AIIMS_CAT,three,five,hundred,forty,no
CBSE_ICSE_StateBoard,six,seven,forty,forty,yes
Class_6-10,ten,four,fort50y,yes
NDA_NEET_CLAT_SSC,three,six,hundred,sixty,no
CBSE_ICSE_StateBoard,greater_than_10,three,hundred,sixty,no
Class_6-10,three,four,sixty,forty,no
UPSC_IIT_AIIMS_CAT,ten,four,eighty,forty,no
NDA_NEET_CLAT_SSC,three,six,eighty,forty,yes
Class_6-10,three,four,hundred,twenty,no
UPSC_IIT_AIIMS_CAT,six,four,sixty,forty,no
CBSE_ICSE_StateBoard,ten,four,sixty,sixty,yes
NDA_NEET_CLAT_SSC,greater_than_10,five,forty,sixty,yes
UPSC_IIT_AIIMS_CAT,three,five,hundred,sixty,no
CBSE_ICSE_StateBoard,six,seven,hundred,twenty,yes
Class_6-10,greater_than_10,six,eighty,forty,no
NDA_NEET_CLAT_SSC,ten,three,eighty,sixty,no
CBSE_ICSE_StateBoard,greater_than_10,six,sixty,sixty,yes
UPSC_IIT_AIIMS_CAT,greater_than_10,six,hundred,sixty,yes
Class_6-10,ten,five,sixty,sixty,yes
CBSE_ICSE_StateBoard,ten,three,sixty,forty,yes
UPSC_IIT_AIIMS_CAT,greater_than_10,seven,forty,forty,no
Class_6-10,six,six,sixty,forty,yes
NDA_NEET_CLAT_SSC,six,three,eighty,twenty,yes
CBSE_ICSE_StateBoard,ten,six,sixty,sixty,yes
UPSC_IIT_AIIMS_CAT,greater_than_10,seven,eighty,forty,yes
NDA_NEET_CLAT_SSC,six,seven,sixty,sixty,no
CBSE_ICSE_StateBoard,three,six,sixty,twenty,no
UPSC_IIT_AIIMS_CAT,three,seven,forty,twenty,no
Class_6-10,three,three,forty,forty,no
NDA_NEET_CLAT_SSC,six,four,eighty,twenty,yes
Class_6-10,ten,three,hundred,twenty,no
CBSE_ICSE_StateBoard,greater_than_10,four,forty,forty,no
UPSC_IIT_AIIMS_CAT,ten,seven,forty,twenty,yes
Class_6-10,greater_than_10,four,sixty,forty,no
CBSE_ICSE_StateBoard,ten,seven,hundred,forty,no
NDA_NEET_CLAT_SSC,greater_than_10,seven,hundred,forty,yes
CBSE_ICSE_StateBoard,three,seven,eighty,sixty,no
UPSC_IIT_AIIMS_CAT,three,seven,sixty,forty,yes
NDA_NEET_CLAT_SSC,greater_than_10,three,sixty,sixty,yes
CBSE_ICSE_StateBoard,three,three,eighty,forty,no
Class_6-10,greater_than_10,six,sixty,sixty,yes
NDA_NEET_CLAT_SSC,ten,seven,hundred,forty,yes
UPSC_IIT_AIIMS_CAT,ten,seven,sixty,twenty,yes
CBSE_ICSE_StateBoard,six,seven,eighty,forty,no
Class_6-10,three,six,sixty,sixty,yes
UPSC_IIT_AIIMS_CAT,ten,seven,eighty,sixty,yes
CBSE_ICSE_StateBoard,six,five,hundred,forty,yes
NDA_NEET_CLAT_SSC,greater_than_10,seven,hundred,sixty,yes
Class_6-10,greater_than_10,seven,sixty,twenty,no
UPSC_IIT_AIIMS_CAT,greater_than_10,five,hundred,sixty,no
CBSE_ICSE_StateBoard,ten,seven,sixty,sixty,no
NDA_NEET_CLAT_SSC,ten,four,eighty,forty,yes
UPSC_IIT_AIIMS_CAT,ten,seven,eighty,twenty,yes
CBSE_ICSE_StateBoard,six,five,hundred,sixty,no
Class_6-10,three,four,hundred,forty,yes
UPSC_IIT_AIIMS_CAT,ten,seven,sixty,forty,no
Class_6-10,ten,three,eighty,forty,yes
CBSE_ICSE_StateBoard,six,five,eighty,forty,no
NDA_NEET_CLAT_SSC,greater_than_10,three,sixty,forty,no
Class_6-10,greater_than_10,seven,eighty,forty,yes
UPSC_IIT_AIIMS_CAT,ten,five,sixty,forty,yes
NDA_NEET_CLAT_SSC,greater_than_10,seven,hundred,forty,no
Class_6-10,greater_than_10,six,forty,sixty,no
CBSE_ICSE_StateBoard,greater_than_10,three,hundred,forty,no
UPSC_IIT_AIIMS_CAT,six,four,eighty,twenty,no
CBSE_ICSE_StateBoard,three,six,forty,forty,yes
NDA_NEET_CLAT_SSC,greater_than_10,three,forty,twenty,yes
Class_6-10,greater_than_10,six,sixty,sixty,yes
UPSC_IIT_AIIMS_CAT,six,three,hundred,forty,yes
CBSE_ICSE_StateBoard,three,four,sixty,forty,yes
NDA_NEET_CLAT_SSC,three,seven,hundred,twenty,no
Class_6-10,ten,six,sixty,sixty,no
UPSC_IIT_AIIMS_CAT,six,four,sixty,forty,no
CBSE_ICSE_StateBoard,greater_than_10,four,sixty,sixty,yes
NDA_NEET_CLAT_SSC,six,six,eighty,twenty,yes
UPSC_IIT_AIIMS_CAT,three,three,hundred,forty,no
CBSE_ICSE_StateBoard,ten,six,forty,forty,yes
Class_6-10,three,six,eighty,sixty,yes
